id,drawing_number,revision,part_name,customer_name,item_code,r2_key,file_name,type,is_active,created_at,created_by,issue_date,package_size,oil_group,pallet_type,boxes_per_pallet,shelf_life,item_number
8390c567-3f21-4315-ad37-d20abfe202c1,D-0258,01,ENEOS ATF D3,ENEOS,40001592,drawing/D-0258_rev01_1784088576406.pdf,40001592 D-0258 rev.01 ENEOS ATF D3.pdf,drawing,true,2026-07-15 04:09:37.432401+00,yeanyeen,2023-10-04,4 x 4 L.,GEAR OIL,,40,2 years,
83e7f747-83ad-462d-88e4-d0ba6d534f1f,D-0185,02,ENEOS SCOOTER GEAR OIL,ENEOS,40001414,drawing/D-0185_rev02_1784096717555.pdf,40001414 D-0185 rev.02 ENEOS SCOOTER GEAR OIL.pdf,drawing,true,2026-07-15 06:25:18.234791+00,yeanyeen,2022-08-19,0.12 x 24 L.,GEAR OIL,,120,,
851a3bcf-4369-4a1c-8395-ca8a113420f1,D-0208,06,SUZUKI ECSTAR V7000 10W-40,ENEOS,40001443,drawing/D-0208_rev06_1784096727379.pdf,40001443 D-0208 rev.06 SUZUKI ECSTAR V7000 10W-40.pdf,drawing,false,2026-07-15 06:25:27.974889+00,yeanyeen,2024-09-20,1 x 24 L.,ENGINE OIL,,20,,
853f0724-27c2-4c47-a813-28416600e740,D-0300,00,ENEOS EURO FULLY SYN COMMONRAIL 5W-30,ENEOS,40002067,drawing/D-0300_rev00_1784278910834.pdf,40002067 D-0300 rev.00 ENEOS EURO FULLY SYN COMMONRAIL 5W-30.pdf,drawing,true,2026-07-17 09:01:51.64157+00,yeanyeen,2026-07-15,1 x 12 L.,ENGINE OIL,,55,4 years,
89232138-5ea7-4688-905c-59d65bc43893,E-0020,01,ENEOS GEAR OIL GL-5 80W90-Export,ENEOS,40001433,drawing/E-0020_rev01_1784096725747.pdf,40001433 E-0020 rev.01 ENEOS GEAR OIL GL-5 80W90-Export.pdf,drawing,true,2026-07-15 06:25:26.352305+00,yeanyeen,2022-06-22,0.12 x 24 L.,GEAR OIL,,,,
8a0e3144-0561-422d-9ac5-2875ebfe7768,D-0356,00,ENEOS DIESEL PLUS CI-4 20W-50 (แถมแชมพู),ENEOS,40001810,drawing/D-0356_rev00_1783929071052.pdf,40001810 D-0356 rev.00 ENEOS DIESEL PLUS CI-4 20W-50 (แถมแชมพู).pdf,drawing,false,2026-07-13 07:51:14.049181+00,yeanyeen,2022-08-19,3 x 6 + 1 L.,ENGINE OIL,,20,,
8b373a57-11fd-4cfa-bbd2-9d45cef58d34,D-0307,00,ENEOS SUPER FULLY SYN COMMONRAIL 5W-30,ENEOS,40001643,drawing/D-0307_rev00_1784088589609.pdf,40001643 D-0307 rev.00 ENEOS SUPER FULLY SYN COMMONRAIL 5W-30.pdf,drawing,true,2026-07-15 04:09:51.822233+00,yeanyeen,2024-10-31,1 x 12 L.,ENGINE OIL,ไม้,50,3 years,
8bb4785e-213e-4b6f-bc89-ffed541ed8f5,D-0249,01,ENEOS FLUSHING OIL,ENEOS,40001549,drawing/D-0249_rev01_1784096750557.pdf,40001549 D-0249 rev.01 ENEOS FLUSHING OIL.pdf,drawing,false,2026-07-15 06:25:51.203333+00,yeanyeen,2023-12-26,4 x 6 L.,ENGINE OIL,ไม้,40,,
8c1a593e-0b04-457c-86f0-073954f17d38,D-0278,00,ENEOS Eco Plus CF 40,ENEOS,40001418,drawing/D-0278_rev00_1784096718435.pdf,40001418 D-0278 rev.00 ENEOS Eco Plus CF 40.pdf,drawing,false,2026-07-15 06:25:19.040327+00,yeanyeen,2022-08-19,1 x 12 L.,ENGINE OIL,,20,,
8c2438b9-10a4-4f2f-a369-13d432064b6c,SM-OR-0012,00,PTT V-120 #40 NP (4/5L) #PPRD# (407042),PTTOR,,master/SM-OR-0012_rev0_1784528476041.pdf,SM-OR-0012 rev.0 PTT V-120 #40 NP (4/5L) #PPRD# (407042).pdf,master,true,2026-07-20 06:21:17.097912+00,yeanyeen,2025-08-25,5 x 4 L.,ENGINE OIL,พลาสติก,40,5 years,616510147C7014A
8c2cf802-5a71-484d-978a-f5a5f716012e,D-0247,00,ENEOS X 5W-40 SQ + P,ENEOS,40002052,drawing/D-0247_rev00_1783993629481.pdf,40002052 D-0247 rev.00 ENEOS X 5W-40 SQ + P.pdf,drawing,true,2026-07-14 01:47:10.707286+00,yeanyeen,2023-02-23,4 x 1 L.,ENGINE OIL,,24,4 years,
8c6c87df-acba-4b82-8e9c-e2af6ca7f515,D-0278,02,ENEOS Eco Plus CF 40,ENEOS,40001418,drawing/D-0278_rev02_1784096719267.pdf,40001418 D-0278 rev.02 ENEOS Eco Plus CF 40.pdf,drawing,true,2026-07-15 06:25:19.946139+00,yeanyeen,2024-10-07,1 x 12 L.,ENGINE OIL,,50,,
